City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Hardy,CA,2021-02-03 23:59:50,50.6996,-127.4199,41.0,87,90,3.44
1,Sao Sebastiao Do Paraiso,BR,2021-02-04 00:03:00,-20.9169,-46.9914,67.53,89,53,1.34
2,Ilulissat,GL,2021-02-04 00:03:54,69.2167,-51.1,-5.8,41,6,10.36
3,Belmonte,BR,2021-02-04 00:04:24,-15.8631,-38.8828,78.8,78,40,8.05
4,Ushuaia,AR,2021-02-04 00:00:41,-54.8,-68.3,51.8,66,75,6.91
5,Nizhneangarsk,RU,2021-02-04 00:04:24,55.7833,109.55,-4.07,91,100,2.8
6,Lalibela,ET,2021-02-04 00:04:24,12.0333,39.0333,48.72,42,0,3.24
7,Bathsheba,BB,2021-02-04 00:04:24,13.2167,-59.5167,78.8,69,20,24.16
8,Husavik,IS,2021-02-04 00:04:24,66.0449,-17.3389,12.2,79,0,5.75
9,Baruun-Urt,MN,2021-02-04 00:00:14,46.6806,113.2792,6.44,91,100,13.2
10,Cherskiy,RU,2021-02-04 00:04:25,68.75,161.3,8.13,81,96,8.16
11,Rikitea,PF,2021-02-04 00:04:25,-23.1203,-134.9692,78.28,71,0,13.11
12,Hithadhoo,MV,2021-02-04 00:04:25,-0.6,73.0833,82.67,73,97,9.19
13,Chuy,UY,2021-02-04 00:04:25,-33.6971,-53.4616,69.01,91,100,19.71
14,Waipawa,NZ,2021-02-04 00:04:25,-41.4122,175.5153,64.0,63,75,23.02
15,Puerto Ayora,EC,2021-02-04 00:04:25,-0.7393,-90.3518,78.01,92,21,1.99
16,Upernavik,GL,2021-02-04 00:04:26,72.7868,-56.1549,-15.12,70,7,5.39
17,Katsuura,JP,2021-02-04 00:02:25,35.1333,140.3,50.0,43,20,20.71
18,Rafraf,TN,2021-02-04 00:04:26,37.1904,10.1837,50.0,93,20,6.53
19,Richards Bay,ZA,2021-02-04 00:04:26,-28.783,32.0377,74.1,92,100,4.99
20,Port Alfred,ZA,2021-02-04 00:04:26,-33.5906,26.891,69.01,93,3,1.99
21,Xuanhua,CN,2021-02-04 00:04:26,40.6103,115.0447,20.84,71,0,4.34
22,Salalah,OM,2021-02-04 00:03:34,17.0151,54.0924,64.4,42,0,5.75
