City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Allapalli,IN,broken clouds,19.4167,80.0667,64.54,28,60,3.91
1,Marinette,US,clear sky,45.1,-87.6307,-5.8,71,1,9.22
2,New Norfolk,AU,overcast clouds,-42.7826,147.0587,55.4,58,90,9.22
3,Jamestown,US,light snow,42.097,-79.2353,21.0,86,90,9.22
4,Klaksvik,FO,scattered clouds,62.2266,-6.589,33.8,86,40,5.75
5,Hilo,US,few clouds,19.7297,-155.09,64.4,59,20,8.05
6,Mukilteo,US,broken clouds,47.9445,-122.3046,39.99,87,75,3.44
7,Karlovo,BG,mist,42.6333,24.8,48.0,100,90,2.3
8,Karema,TZ,broken clouds,-6.8205,30.4389,76.3,76,83,4.52
9,Vaini,TO,moderate rain,-21.2,-175.2,77.0,94,75,10.36
10,Hobart,AU,overcast clouds,-42.8794,147.3294,55.4,58,90,9.22
11,Nikolskoye,RU,light snow,59.7035,30.7861,15.8,92,75,11.18
12,Rikitea,PF,overcast clouds,-23.1203,-134.9692,77.27,72,95,11.77
13,Thompson,CA,snow,55.7435,-97.8558,-36.4,67,75,13.8
14,Airai,TL,overcast clouds,-8.9266,125.4092,60.93,100,100,2.57
15,Willmar,US,clear sky,45.1219,-95.0433,-9.4,59,1,9.22
16,Kununurra,AU,scattered clouds,-15.7667,128.7333,78.8,100,40,2.3
17,Tuktoyaktuk,CA,snow,69.4541,-133.0374,-22.0,76,90,14.97
18,Mar Del Plata,AR,moderate rain,-38.0023,-57.5575,64.4,82,90,8.05
19,Cherskiy,RU,scattered clouds,68.75,161.3,-4.41,72,49,1.25
20,Severo-Kurilsk,RU,overcast clouds,50.6789,156.125,18.16,88,88,14.79
21,Gigmoto,PH,overcast clouds,13.7796,124.39,78.87,84,99,15.39
22,Port Alfred,ZA,light rain,-33.5906,26.891,68.0,94,65,15.99
23,Talcahuano,CL,overcast clouds,-36.7167,-73.1167,64.4,77,90,6.91
24,Sarangani,PH,overcast clouds,5.4033,125.4636,81.79,76,100,4.76
25,Albany,US,snow,42.6001,-73.9662,26.01,75,100,1.01
26,Bafq,IR,scattered clouds,31.6128,55.4107,57.13,52,27,13.56
27,Bantou,CN,clear sky,26.2151,117.4893,62.55,68,0,1.34
28,Tirumullaivasal,IN,scattered clouds,11.2333,79.8333,75.94,71,35,13.67
29,Busselton,AU,overcast clouds,-33.65,115.3333,63.0,98,100,14.67
30,Kungurtug,RU,clear sky,50.5994,97.5228,7.02,85,0,3.22
31,Arraial Do Cabo,BR,moderate rain,-22.9661,-42.0278,77.0,83,75,9.22
32,Santa Maria,BR,few clouds,-29.6842,-53.8069,84.2,51,20,6.91
33,Bud,US,clear sky,39.447,-86.1758,10.0,56,1,6.91
34,Pevek,RU,clear sky,69.7008,170.3133,-6.72,87,0,1.86
35,Fortuna,US,overcast clouds,40.5982,-124.1573,46.0,93,90,3.96
36,Bhanpuri,IN,clear sky,21.1,80.9167,60.51,32,0,2.19
37,Tourlaville,FR,overcast clouds,49.6383,-1.5664,35.6,75,90,18.41
38,Puerto Ayora,EC,clear sky,-0.7393,-90.3518,84.2,70,0,18.41
39,Mount Gambier,AU,overcast clouds,-37.8333,140.7667,55.4,71,90,6.91
40,Lazurne,UA,overcast clouds,46.084,32.5295,23.0,80,90,11.18
41,Ushuaia,AR,clear sky,-54.8,-68.3,59.0,55,0,13.8
42,Tiksi,RU,broken clouds,71.6872,128.8694,-29.34,83,83,3.42
43,Srednekolymsk,RU,overcast clouds,67.45,153.6833,-7.87,87,100,6.49
44,Butaritari,KI,scattered clouds,3.0707,172.7902,80.53,81,42,17.45
45,Punta Arenas,CL,clear sky,-53.15,-70.9167,62.6,34,0,12.66
46,Malindi,KE,broken clouds,-3.2175,40.1191,82.4,74,75,11.5
47,Saldanha,ZA,clear sky,-33.0117,17.9442,73.4,46,0,23.02
48,Salamanca,ES,overcast clouds,40.8333,-6.0,41.0,94,100,1.99
49,Kapaa,US,clear sky,22.0752,-159.319,60.8,72,1,11.5
50,Kavieng,PG,scattered clouds,-2.5744,150.7967,82.53,78,39,9.46
51,Dikson,RU,overcast clouds,73.5069,80.5464,-29.06,86,88,10.94
52,Walvis Bay,NA,scattered clouds,-22.9575,14.5053,69.8,68,28,10.36
53,Bluff,NZ,overcast clouds,-46.6,168.3333,54.07,87,100,5.55
54,Lebu,CL,broken clouds,-37.6167,-73.65,64.9,72,58,6.51
55,Adiake,CI,light rain,5.2863,-3.304,86.0,79,20,11.5
56,Poum,NC,overcast clouds,-20.2333,164.0167,79.43,70,96,1.34
57,Maghar,IL,few clouds,32.8898,35.407,62.6,72,20,2.3
58,Samarinda,ID,overcast clouds,-0.5,117.15,75.04,94,100,0.2
59,Hami,CN,scattered clouds,42.8,93.45,30.43,81,43,2.95
60,Norman Wells,CA,light snow,65.282,-126.8329,-27.4,75,90,2.3
61,Khokhryaki,RU,light snow,56.9156,53.3221,0.0,82,100,3.0
62,Upington,ZA,few clouds,-28.4478,21.2561,96.8,14,20,12.66
63,Beringovskiy,RU,overcast clouds,63.05,179.3167,-5.49,89,99,13.94
64,Plouzane,FR,overcast clouds,48.3833,-4.6167,42.8,75,90,14.97
65,Pitsunda,GE,overcast clouds,43.1592,40.3378,46.4,81,90,8.95
66,Kruisfontein,ZA,overcast clouds,-34.0033,24.7314,68.0,88,100,4.0
67,Qaanaaq,GL,overcast clouds,77.484,-69.3632,11.08,87,99,4.68
68,Casper,US,haze,42.8666,-106.3131,6.01,78,90,13.8
69,Barrow,US,light snow,71.2906,-156.7887,-20.2,69,75,10.36
70,Bathsheba,BB,scattered clouds,13.2167,-59.5167,84.2,58,40,23.02
71,Sabha,LY,overcast clouds,27.0377,14.4283,76.64,15,91,13.85
72,Arman,RU,overcast clouds,59.7,150.1667,13.06,86,100,15.66
73,Labuhan,ID,overcast clouds,-6.8844,112.2051,79.48,84,99,12.1
74,Atuona,PF,scattered clouds,-9.8,-139.0333,79.32,75,44,21.56
75,Longyearbyen,SJ,light snow,78.2186,15.6401,17.6,67,75,19.57
76,Tiznit,MA,scattered clouds,29.5833,-9.5,54.0,67,28,12.77
77,Bukene,TZ,light rain,-4.2333,32.8833,68.16,88,89,5.19
78,Capaci,IT,few clouds,38.1711,13.2393,57.2,77,20,10.36
79,Aykhal,RU,overcast clouds,66.0,111.5,-24.63,83,100,5.32
80,Cidreira,BR,scattered clouds,-30.1811,-50.2056,77.05,64,40,11.81
81,Mahebourg,MU,light rain,-20.4081,57.7,80.6,78,20,10.36
82,Khandyga,RU,scattered clouds,62.6667,135.6,-33.93,82,34,3.11
83,Moerai,PF,scattered clouds,-22.4333,-151.3333,80.98,72,37,8.1
84,Madang,PG,overcast clouds,-5.2246,145.7966,76.82,87,100,4.5
85,Dese,ET,overcast clouds,11.1333,39.6333,51.67,87,88,2.68
86,Lavrentiya,RU,clear sky,65.5833,-171.0,-10.77,83,0,6.53
87,Tarragona,ES,few clouds,41.129,1.249,55.4,47,20,10.36
88,Bethel,US,heavy snow,41.3712,-73.414,28.0,93,90,4.61
89,Pointe-Noire,CG,light rain,-4.7761,11.8635,84.2,84,40,9.22
90,Taoudenni,ML,clear sky,22.6783,-3.9836,76.78,17,0,12.82
91,Kaitangata,NZ,scattered clouds,-46.2817,169.8464,57.99,94,49,1.99
92,Ponta Do Sol,PT,broken clouds,32.6667,-17.1,62.01,70,79,5.01
93,Belen,TR,scattered clouds,36.4891,36.2233,60.8,72,40,11.5
94,Prince Rupert,CA,clear sky,54.3161,-130.3201,33.8,86,1,6.91
95,Urusha,RU,clear sky,54.05,122.9,-17.97,84,0,2.46
96,Kasungu,MW,moderate rain,-13.0333,33.4833,69.98,94,95,6.6
97,Katsuura,JP,clear sky,35.1333,140.3,46.4,53,0,16.11
98,Aneho,TG,few clouds,6.2333,1.6,89.6,66,20,17.27
99,El Reno,US,mist,35.5323,-97.955,30.99,100,90,8.05
100,Castro,BR,clear sky,-24.7911,-50.0119,75.22,42,0,3.31
101,Namatanai,PG,light rain,-3.6667,152.4333,80.55,80,77,5.79
102,Porto Velho,BR,broken clouds,-8.7619,-63.9039,84.2,74,75,3.44
103,Bandar-E Lengeh,IR,scattered clouds,26.5579,54.8807,68.0,73,39,6.91
104,Druzhba,UA,scattered clouds,52.0428,33.9453,1.74,93,26,6.13
105,Soloneshnoye,RU,broken clouds,51.6544,84.3197,25.61,91,62,5.03
106,Teguise,ES,broken clouds,29.0605,-13.564,66.2,59,75,11.5
107,Vytegra,RU,few clouds,61.0064,36.4481,-6.97,89,11,3.15
108,Mogadishu,SO,clear sky,2.0371,45.3438,78.22,77,6,24.23
109,Bambous Virieux,MU,light rain,-20.3428,57.7575,81.0,78,20,10.36
110,Laguna,US,mist,38.421,-121.4238,45.0,93,1,4.52
111,Kharp,RU,light snow,66.8014,65.8081,-3.55,89,100,15.28
112,Mataura,NZ,overcast clouds,-46.1927,168.8643,51.69,87,99,1.79
113,Sabang,ID,scattered clouds,5.8933,95.3214,81.59,80,37,12.93
114,Vagamo,NO,clear sky,61.8751,9.0967,3.79,76,0,1.74
115,Nanortalik,GL,overcast clouds,60.1432,-45.2371,34.25,82,100,17.94
116,Sorong,ID,overcast clouds,-0.8833,131.25,79.3,86,100,5.57
117,Provideniya,RU,scattered clouds,64.3833,-173.3,-3.48,77,32,16.15
118,Amherst,US,clear sky,41.3978,-82.2224,18.0,79,1,10.36
119,Saint-Philippe,RE,light rain,-21.3585,55.7679,80.6,78,75,5.75
120,Khatanga,RU,clear sky,71.9667,102.5,-31.85,79,0,9.06
121,Berlevag,NO,snow,70.8578,29.0864,23.0,68,75,23.02
122,Lashio,MM,clear sky,22.9333,97.75,53.78,97,1,1.95
123,Xam Nua,LA,scattered clouds,20.4197,104.0439,57.9,94,27,2.28
124,Cururupu,BR,scattered clouds,-1.8283,-44.8683,87.89,59,48,7.4
125,Sarakhs,IR,clear sky,36.5449,61.1577,51.8,62,0,6.78
126,Miyang,CN,light rain,24.4042,103.4428,50.92,88,100,3.58
127,Caucasia,CO,overcast clouds,7.9865,-75.1935,91.2,53,100,4.16
128,Kabinda,CD,moderate rain,-6.1333,24.4833,71.47,90,93,1.99
129,Ribeira Grande,PT,scattered clouds,38.5167,-28.7,64.4,68,40,19.57
130,Altamira,BR,broken clouds,-3.2033,-52.2064,82.4,89,75,2.3
131,Hailey,US,clear sky,43.5196,-114.3153,24.01,74,1,6.91
132,Korla,CN,broken clouds,41.7597,86.1469,32.43,78,80,4.81
133,Hermanus,ZA,scattered clouds,-34.4187,19.2345,70.0,68,46,3.0
134,Bereda,ES,overcast clouds,43.2686,-7.5406,46.99,94,100,17.0
135,Upernavik,GL,few clouds,72.7868,-56.1549,18.46,80,18,3.47
136,Kodiak,US,clear sky,57.79,-152.4072,26.6,63,1,4.61
137,Bredasdorp,ZA,overcast clouds,-34.5322,20.0403,69.8,52,89,10.36
138,Enshi,CN,overcast clouds,30.3,109.4833,48.94,77,100,4.05
139,North Bend,US,overcast clouds,43.4065,-124.2243,44.6,93,90,3.44
140,Codrington,AU,overcast clouds,-38.2667,141.9667,56.39,68,86,10.96
141,Meulaboh,ID,scattered clouds,4.1363,96.1285,78.55,82,28,3.91
142,Puerto Del Rosario,ES,scattered clouds,28.5004,-13.8627,66.2,52,40,11.5
143,Valdobbiadene,IT,mist,45.8993,11.9946,53.6,87,75,4.61
144,Yellowknife,CA,clear sky,62.456,-114.3525,-45.99,65,1,4.61
145,Mapimi,MX,broken clouds,25.8167,-103.85,55.4,16,75,6.17
146,Isangel,VU,few clouds,-19.55,169.2667,77.0,94,20,3.78
147,East London,ZA,few clouds,-33.0153,27.9116,73.4,83,20,6.91
148,Vostok,RU,overcast clouds,46.4856,135.8833,-12.77,90,100,2.91
149,Huarmey,PE,broken clouds,-10.0681,-78.1522,76.71,61,78,9.73
150,Two Rivers,US,clear sky,44.1539,-87.5693,-7.01,59,1,12.66
151,Rock Sound,BS,clear sky,24.9,-76.2,75.72,87,0,15.57
152,Torbay,CA,scattered clouds,47.6666,-52.7314,34.0,59,40,33.38
153,Januaria,BR,light rain,-15.4833,-44.3667,75.31,88,99,4.65
154,Lima,PE,broken clouds,-12.0432,-77.0282,75.99,73,75,9.22
